月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度
0,42,12.92,542.64,1.6840000000000002,70.72800000000001,1.8900000000000001,79.38000000000001,0,19.6
1,42,12.92,542.64,1.6840000000000002,70.72800000000001,1.8900000000000001,79.38000000000001,19.6,19.6
2,42,12.92,542.64,1.6840000000000002,70.72800000000001,1.8900000000000001,79.38000000000001,39.2,19.6
3,42,12.92,542.64,1.6840000000000002,70.72800000000001,1.8900000000000001,79.38000000000001,58.800000000000004,19.6
4,42,12.92,542.64,1.6840000000000002,70.72800000000001,1.8900000000000001,79.38000000000001,78.4,19.6
5,42,12.92,542.64,1.6840000000000002,70.72800000000001,1.8900000000000001,79.38000000000001,98.0,19.6
6,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,17.599999999999994,9.8
7,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,27.399999999999995,9.8
8,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,37.199999999999996,9.8
9,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,47.0,9.8
10,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,56.8,9.8
11,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,66.6,9.8
12,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,76.39999999999999,9.8
13,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,86.19999999999999,9.8
14,41,12.86,527.26,1.6820000000000002,68.962,1.8450000000000002,75.64500000000001,95.99999999999999,9.8
15,40,12.8,512.0,1.6800000000000002,67.2,1.8,72.0,5.799999999999983,0.0
16,40,12.8,512.0,1.6800000000000002,67.2,1.8,72.0,5.799999999999983,0.0
